record_id,stage,name,mechanism,source,line,signals,static_status,test_unit,validation_group,priority,test_batch,applicability_status,trigger_case_status,trigger_case,observed_pass_status,correctness_status,codegen_status,fallback_status,performance_status,compile_first_ms,warmup,runs,mean_ms,stdev_ms,p50_ms,p99_ms,peak_memory_bytes,verdict,replacement_status,notes
8350be706e42,inductor-extension,binary_folding_pass,pattern-registry,torch/_inductor/fx_passes/freezing_patterns.py,34,,generic-needs-validation,container-coverage,generic-npu,INFRA,B10_PIPELINE_INFRA,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
8c7e5a563f11,inductor-extension,freezing_passes,extension-function,torch/_inductor/fx_passes/freezing_patterns.py,37,mkldnn,needs-npu-validation,manual-review,device-specific-review,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
9558631518d1,inductor-extension,int8_woq_fusion_pattern,replacement-entry,torch/_inductor/fx_passes/freezing_patterns.py,206,,generic-needs-validation,direct-case,generic-npu,P2,B5_GEMM,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
436b9907ab51,inductor-extension,matmul_fuse_pattern,replacement-entry,torch/_inductor/fx_passes/freezing_patterns.py,229,,generic-needs-validation,direct-case,generic-npu,P2,B5_GEMM,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
2c96ebb4d30f,inductor-extension,matmul_fuse_pattern_two,replacement-entry,torch/_inductor/fx_passes/freezing_patterns.py,252,,generic-needs-validation,direct-case,generic-npu,P2,B5_GEMM,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
056881a01639,inductor-extension,addmm_fuse_pattern_second,replacement-entry,torch/_inductor/fx_passes/freezing_patterns.py,279,,generic-needs-validation,direct-case,generic-npu,P2,B5_GEMM,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
3bc3f34915da,inductor-extension,unnecessary_dtype_convert,pattern-entry,torch/_inductor/fx_passes/freezing_patterns.py,308,,generic-needs-validation,direct-case,generic-npu,P2,B11_GENERIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
410927b10eeb,inductor-extension,_get_dedup_rs_pass,extension-function,torch/_inductor/fx_passes/fsdp.py,101,,generic-needs-validation,manual-review,generic-npu,P3,B9_DISTRIBUTED,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
3f2572ddcd4e,inductor-extension,dedup_reduce_scatter,pattern-registry,torch/_inductor/fx_passes/fsdp.py,109,,generic-needs-validation,container-coverage,generic-npu,P3,B9_DISTRIBUTED,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
38ca57f55dd5,inductor-extension,_get_dedup_rs_pass._,pattern-entry,torch/_inductor/fx_passes/fsdp.py,152,,generic-needs-validation,direct-case,generic-npu,P3,B9_DISTRIBUTED,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
cd2cb0b5fe95,inductor-extension,group_batch_fusion_passes,extension-function,torch/_inductor/fx_passes/group_batch_fusion.py,1679,,generic-needs-validation,manual-review,generic-npu,INFRA,B10_PIPELINE_INFRA,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
d1fa741fe50e,inductor-extension,patterns,pattern-registry,torch/_inductor/fx_passes/micro_pipeline_tp.py,27,,generic-needs-validation,container-coverage,generic-npu,P3,B9_DISTRIBUTED,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
1cde6d1ec26d,inductor-extension,micro_pipeline_tp_pass,extension-function,torch/_inductor/fx_passes/micro_pipeline_tp.py,1299,collective,needs-npu-validation,manual-review,distributed-npu,P3,B9_DISTRIBUTED,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
b2388e98704e,inductor-extension,randperm_index_add_pattern,replacement-entry,torch/_inductor/fx_passes/misc_patterns.py,50,,generic-needs-validation,direct-case,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
17ecd96118f2,inductor-extension,randperm_index_full_pattern,replacement-entry,torch/_inductor/fx_passes/misc_patterns.py,71,,generic-needs-validation,direct-case,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
bcfb4183ce66,inductor-extension,randperm_index_pattern,replacement-entry,torch/_inductor/fx_passes/misc_patterns.py,92,,generic-needs-validation,direct-case,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
0d677781d69d,inductor-extension,e8m0_rceil_pattern,replacement-entry,torch/_inductor/fx_passes/misc_patterns.py,139,cuda,needs-npu-validation,direct-case,backend-assumption-review,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
f56740c25cbe,inductor-extension,e8m0_rceil_log2_pattern,replacement-entry,torch/_inductor/fx_passes/misc_patterns.py,198,cuda,needs-npu-validation,direct-case,backend-assumption-review,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
73fcd1294fb3,inductor-extension,grouped_gemm_pass,extension-function,torch/_inductor/fx_passes/mkldnn_fusion.py,208,mkldnn,needs-npu-validation,manual-review,device-specific-review,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
8e3cead90877,inductor-extension,_register_unary_fusion_lowering.fn,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,474,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
ec0d628d0f2d,inductor-extension,_register_leaky_relu_fusion_lowering.fn,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,494,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
01579ba32984,inductor-extension,_register_hardtanh_fusion_lowering.fn,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,542,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
63c5cfe57202,inductor-extension,_register_binary_unary_fusion_lowering.fn,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,772,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
ea47724cd0a8,inductor-extension,_register_binary_unary_maybe_inplace_fusion_lowering.fn,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,854,"dynamic_shape,memory_alias",generic-needs-validation,direct-case,dynamic-shape,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
990d526bf3e7,inductor-extension,reshape_linear_reshape_pattern,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,1094,"mkldnn,dynamic_shape",needs-npu-validation,direct-case,device-specific-review,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
18202f32e8fc,inductor-extension,linear_bias_pattern,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,1178,mkldnn,needs-npu-validation,direct-case,device-specific-review,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
b91ab23c9c1f,inductor-extension,_register_weight_pack_pass,extension-function,torch/_inductor/fx_passes/mkldnn_fusion.py,1403,"mkldnn,dynamic_shape",needs-npu-validation,manual-review,device-specific-review,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
222484aedbd6,inductor-extension,convolution,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,1408,"mkldnn,dynamic_shape",needs-npu-validation,direct-case,device-specific-review,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
7e4929ef2f24,inductor-extension,mkldnn_rnn_layer,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,1460,mkldnn,needs-npu-validation,direct-case,device-specific-review,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
bab4e1ad7592,inductor-extension,linear,pattern-entry,torch/_inductor/fx_passes/mkldnn_fusion.py,1527,"mkldnn,dynamic_shape",needs-npu-validation,direct-case,device-specific-review,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
2fb945565494,inductor-extension,qconv,pattern-entry,torch/_inductor/fx_passes/quantization.py,426,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
40b93168c945,inductor-extension,qlinear,pattern-entry,torch/_inductor/fx_passes/quantization.py,539,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
6600bdaa0cfc,inductor-extension,qlinear_binary,pattern-entry,torch/_inductor/fx_passes/quantization.py,598,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
6e980a0677be,inductor-extension,qconv_binary,pattern-entry,torch/_inductor/fx_passes/quantization.py,772,memory_alias,generic-needs-validation,direct-case,alias-mutation,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
9750cfe0a97f,inductor-extension,qmaxpool2d,pattern-entry,torch/_inductor/fx_passes/quantization.py,920,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
61f656404961,inductor-extension,qcat,pattern-entry,torch/_inductor/fx_passes/quantization.py,1066,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
40f1abd1861f,inductor-extension,qreshape,pattern-entry,torch/_inductor/fx_passes/quantization.py,1112,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
9563f69c084d,inductor-extension,woq_int8,pattern-entry,torch/_inductor/fx_passes/quantization.py,1208,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
9563f69c084d,inductor-extension,woq_int8,pattern-entry,torch/_inductor/fx_passes/quantization.py,1273,,generic-needs-validation,direct-case,generic-npu,P3,B8_DEVICE_SPECIFIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
5453107eac26,inductor-extension,_build_pattern_pass,extension-function,torch/_inductor/fx_passes/reduced_atomic_contention.py,565,,generic-needs-validation,manual-review,generic-npu,INFRA,B10_PIPELINE_INFRA,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
a5b1a655db37,inductor-extension,partitioned_scatter_optimization,pattern-registry,torch/_inductor/fx_passes/reduced_atomic_contention.py,571,,generic-needs-validation,container-coverage,generic-npu,INFRA,B10_PIPELINE_INFRA,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
b6404dbac2b7,inductor-extension,replacement,pattern-entry,torch/_inductor/fx_passes/reduced_atomic_contention.py,581,,generic-needs-validation,direct-case,generic-npu,P2,B11_GENERIC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
9e538319a481,inductor-extension,partitioned_scatter_optimization_pass,extension-function,torch/_inductor/fx_passes/reduced_atomic_contention.py,621,,generic-needs-validation,manual-review,generic-npu,INFRA,B10_PIPELINE_INFRA,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
024da11b8cce,inductor-extension,patterns,pattern-registry,torch/_inductor/fx_passes/replace_random.py,21,,generic-needs-validation,container-coverage,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
50cc63a0c508,inductor-extension,replace_random_passes,extension-function,torch/_inductor/fx_passes/replace_random.py,59,,generic-needs-validation,manual-review,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
445484becfeb,inductor-extension,fuse_seed_creation_pass,pipeline,torch/_inductor/fx_passes/replace_random.py,65,,generic-pipeline,observer-stage,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
c849cbffb707,inductor-extension,fuse_offset_creation_pass,pipeline,torch/_inductor/fx_passes/replace_random.py,68,,generic-pipeline,observer-stage,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
75f5479e89ef,inductor-extension,fuse_offset_creation_pass,extension-function,torch/_inductor/fx_passes/replace_random.py,74,,generic-needs-validation,manual-review,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
ce13f82b44ac,inductor-extension,fuse_seed_creation_pass,extension-function,torch/_inductor/fx_passes/replace_random.py,121,,generic-needs-validation,manual-review,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
285d09b4dc56,inductor-extension,replace_random,pattern-entry,torch/_inductor/fx_passes/replace_random.py,185,cuda,needs-npu-validation,direct-case,backend-assumption-review,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
413bd277b95d,inductor-extension,replace_randint,pattern-entry,torch/_inductor/fx_passes/replace_random.py,245,,generic-needs-validation,direct-case,generic-npu,P2,B7_RANDOM_MISC,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
98f4d5fca467,inductor-extension,construct_pattern_matcher_pass,extension-function,torch/_inductor/fx_passes/split_cat.py,100,,generic-needs-validation,manual-review,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
862fcd104c35,inductor-extension,normalize_split_default,pattern-entry,torch/_inductor/fx_passes/split_cat.py,229,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
c0ef5cc3bc98,inductor-extension,remove_split_with_size_one,pattern-entry,torch/_inductor/fx_passes/split_cat.py,241,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
ffb329bbdd3b,inductor-extension,normalize_unbind_default,pattern-entry,torch/_inductor/fx_passes/split_cat.py,284,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
b5dafba866b2,inductor-extension,normalize_cat_default,pattern-entry,torch/_inductor/fx_passes/split_cat.py,321,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
4d8681d9a90a,inductor-extension,normalize_stack_default,pattern-entry,torch/_inductor/fx_passes/split_cat.py,383,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
6a941960bdeb,inductor-extension,normalize_squeeze_default,pattern-entry,torch/_inductor/fx_passes/split_cat.py,429,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
10513597b2c8,inductor-extension,normalize_reshape_default,pattern-entry,torch/_inductor/fx_passes/split_cat.py,469,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
21b4e5115c82,inductor-extension,normalize_clamp_default,pattern-entry,torch/_inductor/fx_passes/split_cat.py,498,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
a31a0d7d52ab,inductor-extension,normalize_detach_default,pattern-entry,torch/_inductor/fx_passes/split_cat.py,531,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
8f14a370430e,inductor-extension,merge_splits,pattern-entry,torch/_inductor/fx_passes/split_cat.py,599,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
99c5eaf4af8f,inductor-extension,merge_split_squeeze,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1307,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
9402764ab326,inductor-extension,merge_unbind_stack,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1373,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
d6a1efa2dff3,inductor-extension,simplify_split_cat,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1438,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
91a70e6651bc,inductor-extension,merge_getitem_cat,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1523,memory_alias,generic-needs-validation,direct-case,alias-mutation,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
fec04f9f3d12,inductor-extension,mutate_cat_node,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1630,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
609d8b4e0dc4,inductor-extension,normalize_split_default_aten,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1707,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
43bb42aef550,inductor-extension,normalize_split_with_size_default_aten,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1757,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
3559f3418ce4,inductor-extension,merge_split_cat_aten,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1803,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
bc3382602c0e,inductor-extension,merge_select_cat_aten,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1907,"dynamic_shape,memory_alias",generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
61ea26415db9,inductor-extension,normalize_cat_default_aten,pattern-entry,torch/_inductor/fx_passes/split_cat.py,1959,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
21763efd462f,inductor-extension,merge_unbind_stack_aten,pattern-entry,torch/_inductor/fx_passes/split_cat.py,2013,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
478542092c69,inductor-extension,split_cat_to_slices,pattern-entry,torch/_inductor/fx_passes/split_cat.py,2369,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
6a0499550a29,inductor-extension,unbind_cat_to_view,pattern-entry,torch/_inductor/fx_passes/split_cat.py,2452,"dynamic_shape,memory_alias",generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
8dd6028211e6,inductor-extension,split_stack_to_cats,pattern-entry,torch/_inductor/fx_passes/split_cat.py,2626,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
0f5f1d887b40,inductor-extension,unbind_stack_to_slices,pattern-entry,torch/_inductor/fx_passes/split_cat.py,2699,"dynamic_shape,memory_alias",generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
11ed6bef4611,inductor-extension,move_reshape_out_of_split_stack,pattern-entry,torch/_inductor/fx_passes/split_cat.py,2797,dynamic_shape,generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
3b2feb8eac4c,inductor-extension,move_view_after_cat,pattern-entry,torch/_inductor/fx_passes/split_cat.py,2935,"dynamic_shape,memory_alias",generic-needs-validation,direct-case,dynamic-shape,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
f7487f2ae5a0,inductor-extension,replace_einsum_to_pointwise,pattern-entry,torch/_inductor/fx_passes/split_cat.py,3037,,generic-needs-validation,direct-case,generic-npu,P2,B6_SPLIT_CAT,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
bbcbc96869fb,inductor-extension,AscendCustomPostPass,extension-function,torch_npu/_inductor/fx_passes/graph_match_pass.py,5,,npu-specific,manual-review,npu-specific,INFRA,B10_PIPELINE_INFRA,review-required,not-designed,,not-run,not-run,not-run,not-run,not-run,,,,,,,,,not-run,not-assessed,
